dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-2.csv,Backward4,0.83,0.6,0.63,0.61,0.23,0.76,0.74,0.73
prop-2.csv,Auto-Spearman,0.86,0.64,0.67,0.66,0.32,0.67,0.77,0.76
prop-2.csv,ATE-FS,0.82,0.58,0.6,0.58,0.18,0.7,0.71,0.7
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-1.csv,None,0.8,0.64,0.68,0.65,0.32,0.76,0.76,0.75
prop-1.csv,GSMB,0.78,0.6,0.63,0.61,0.23,0.69,0.72,0.72
prop-1.csv,IAMB,0.78,0.61,0.63,0.62,0.24,0.69,0.72,0.72
prop-1.csv,IAMBnPC,0.78,0.6,0.63,0.61,0.24,0.69,0.72,0.72
prop-1.csv,LRH,0.78,0.6,0.63,0.61,0.23,0.69,0.72,0.72
prop-1.csv,BAMB,0.77,0.6,0.63,0.61,0.23,0.69,0.72,0.71
prop-1.csv,FBEDk,0.78,0.6,0.63,0.61,0.24,0.69,0.72,0.72
prop-1.csv,MMMB,0.78,0.61,0.63,0.62,0.24,0.69,0.72,0.72
prop-1.csv,PCMB,0.77,0.6,0.63,0.61,0.23,0.69,0.72,0.71
prop-1.csv,HITON_MB,0.77,0.6,0.63,0.61,0.23,0.69,0.72,0.71
prop-1.csv,MBOR,0.77,0.6,0.63,0.61,0.23,0.7,0.72,0.71
prop-1.csv,IPCMB,0.78,0.61,0.63,0.62,0.24,0.7,0.72,0.72
prop-1.csv,STMB,0.76,0.59,0.62,0.6,0.21,0.69,0.71,0.71
prop-1.csv,KIAMB,0.79,0.6,0.62,0.61,0.22,0.68,0.72,0.71
prop-1.csv,TIE_P,--,--,--,--,--,--,--,
prop-1.csv,Chi-Square1,0.79,0.62,0.65,0.63,0.27,0.71,0.74,0.73
prop-1.csv,Chi-Square2,0.81,0.63,0.63,0.63,0.26,0.74,0.74,0.73
prop-1.csv,Chi-Square3,0.81,0.63,0.64,0.64,0.27,0.74,0.74,0.73
prop-1.csv,Chi-Square4,0.81,0.63,0.64,0.64,0.27,0.74,0.74,0.73
prop-1.csv,Mutual-Info1,0.82,0.63,0.63,0.63,0.26,0.71,0.74,0.73
prop-1.csv,Mutual-Info2,0.81,0.64,0.65,0.64,0.29,0.74,0.75,0.74
prop-1.csv,Mutual-Info3,0.81,0.63,0.64,0.64,0.28,0.75,0.74,0.73
prop-1.csv,Mutual-Info4,0.81,0.65,0.68,0.66,0.32,0.76,0.76,0.75
prop-1.csv,Anova1,0.81,0.63,0.64,0.63,0.27,0.74,0.74,0.73
prop-1.csv,Anova2,0.79,0.62,0.65,0.64,0.28,0.75,0.74,0.73
