dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-4.csv,TIE_P,0.65,0.55,0.63,0.51,0.16,0.63,0.64,0.64
prop-4.csv,Chi-Square1,0.78,0.57,0.63,0.58,0.19,0.63,0.71,0.71
prop-4.csv,Chi-Square2,0.79,0.58,0.64,0.58,0.2,0.64,0.72,0.72
prop-4.csv,Chi-Square3,0.79,0.58,0.64,0.58,0.2,0.64,0.72,0.72
prop-4.csv,Chi-Square4,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,Mutual-Info1,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,Mutual-Info2,0.79,0.58,0.64,0.58,0.21,0.64,0.72,0.72
prop-4.csv,Mutual-Info3,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,Mutual-Info4,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,Anova1,0.78,0.57,0.64,0.58,0.21,0.64,0.72,0.71
prop-4.csv,Anova2,0.79,0.58,0.64,0.58,0.21,0.64,0.72,0.72
prop-4.csv,Anova3,0.79,0.58,0.64,0.58,0.21,0.64,0.72,0.72
prop-4.csv,Anova4,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,DropCorrelated1,0.78,0.57,0.64,0.58,0.2,0.64,0.71,0.71
prop-4.csv,DropCorrelated2,0.78,0.57,0.64,0.58,0.2,0.64,0.71,0.71
prop-4.csv,DropCorrelated3,0.75,0.57,0.65,0.57,0.2,0.65,0.7,0.7
prop-4.csv,DropCorrelated4,0.74,0.58,0.68,0.57,0.24,0.68,0.71,0.71
prop-4.csv,SmartCorrelated1,0.76,0.56,0.63,0.57,0.18,0.63,0.7,0.7
prop-4.csv,SmartCorrelated2,0.67,0.57,0.67,0.54,0.21,0.67,0.67,0.67
prop-4.csv,SmartCorrelated3,0.73,0.56,0.65,0.56,0.2,0.65,0.69,0.69
prop-4.csv,SmartCorrelated4,0.73,0.57,0.68,0.57,0.23,0.68,0.7,0.7
prop-4.csv,RFE-Logistic1,0.79,0.57,0.63,0.58,0.2,0.63,0.72,0.71
prop-4.csv,RFE-Logistic2,0.79,0.57,0.63,0.58,0.2,0.63,0.72,0.71
prop-4.csv,RFE-Logistic3,0.79,0.58,0.64,0.58,0.2,0.64,0.72,0.72
prop-4.csv,RFE-Logistic4,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,Forward1,0.78,0.57,0.64,0.58,0.2,0.64,0.72,0.71
prop-4.csv,Forward2,0.79,0.57,0.64,0.58,0.2,0.64,0.72,0.71
prop-4.csv,Forward3,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,Forward4,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,RFE-Random1,0.87,0.58,0.56,0.56,0.13,0.56,0.7,0.68
prop-4.csv,RFE-Random2,0.66,0.56,0.67,0.53,0.21,0.67,0.67,0.67
prop-4.csv,RFE-Random3,0.77,0.57,0.65,0.58,0.21,0.65,0.72,0.72
prop-4.csv,RFE-Random4,0.86,0.57,0.56,0.56,0.13,0.56,0.7,0.68
prop-4.csv,Backward1,0.76,0.56,0.64,0.57,0.19,0.64,0.7,0.7
prop-4.csv,Backward2,0.78,0.57,0.63,0.57,0.19,0.63,0.71,0.71
prop-4.csv,Backward3,0.76,0.57,0.65,0.57,0.21,0.65,0.71,0.71
prop-4.csv,Backward4,0.77,0.58,0.66,0.59,0.22,0.66,0.72,0.72
prop-4.csv,Auto-Spearman,0.75,0.56,0.63,0.56,0.18,0.63,0.7,0.7
prop-4.csv,ATE-FS,0.77,0.58,0.66,0.58,0.22,0.66,0.72,0.72
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-2.csv,None,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,GSMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,IAMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,IAMBnPC,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,LRH,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,BAMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,FBEDk,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,MMMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,PCMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,HITON_MB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,MBOR,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,IPCMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,STMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,KIAMB,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,TIE_P,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,Chi-Square1,0.72,0.55,0.61,0.55,0.15,0.61,0.67,0.67
prop-2.csv,Chi-Square2,0.72,0.55,0.61,0.55,0.15,0.61,0.67,0.67
prop-2.csv,Chi-Square3,0.72,0.55,0.61,0.55,0.15,0.61,0.67,0.67
prop-2.csv,Chi-Square4,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,Mutual-Info1,0.74,0.55,0.6,0.55,0.15,0.6,0.68,0.68
prop-2.csv,Mutual-Info2,0.68,0.55,0.62,0.53,0.16,0.62,0.66,0.66
prop-2.csv,Mutual-Info3,0.69,0.55,0.62,0.53,0.16,0.62,0.66,0.66
prop-2.csv,Mutual-Info4,0.68,0.55,0.62,0.53,0.16,0.62,0.66,0.66
prop-2.csv,Anova1,0.61,0.55,0.64,0.5,0.17,0.64,0.62,0.62
prop-2.csv,Anova2,0.68,0.55,0.62,0.53,0.16,0.62,0.66,0.66
