dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-4.csv,TIE_P,0.81,0.57,0.61,0.58,0.17,0.68,0.71,0.7
prop-4.csv,Chi-Square1,0.77,0.59,0.68,0.59,0.25,0.76,0.73,0.73
prop-4.csv,Chi-Square2,0.85,0.6,0.62,0.61,0.22,0.76,0.74,0.72
prop-4.csv,Chi-Square3,0.85,0.6,0.61,0.6,0.21,0.76,0.73,0.72
prop-4.csv,Chi-Square4,0.85,0.59,0.6,0.6,0.19,0.77,0.72,0.71
prop-4.csv,Mutual-Info1,0.86,0.61,0.61,0.61,0.22,0.76,0.73,0.72
prop-4.csv,Mutual-Info2,0.85,0.6,0.62,0.61,0.22,0.77,0.74,0.72
prop-4.csv,Mutual-Info3,0.85,0.6,0.62,0.61,0.22,0.76,0.74,0.72
prop-4.csv,Mutual-Info4,0.85,0.6,0.61,0.6,0.21,0.76,0.73,0.72
prop-4.csv,Anova1,0.85,0.6,0.62,0.61,0.23,0.76,0.74,0.73
prop-4.csv,Anova2,0.86,0.6,0.61,0.6,0.21,0.76,0.73,0.72
prop-4.csv,Anova3,0.85,0.6,0.61,0.6,0.21,0.76,0.73,0.72
prop-4.csv,Anova4,0.85,0.6,0.61,0.6,0.21,0.77,0.73,0.72
prop-4.csv,DropCorrelated1,0.85,0.6,0.62,0.61,0.22,0.74,0.74,0.72
prop-4.csv,DropCorrelated2,0.86,0.61,0.63,0.62,0.24,0.74,0.74,0.73
prop-4.csv,DropCorrelated3,0.85,0.61,0.63,0.62,0.24,0.76,0.74,0.73
prop-4.csv,DropCorrelated4,0.85,0.61,0.63,0.62,0.24,0.76,0.74,0.73
prop-4.csv,SmartCorrelated1,0.85,0.61,0.64,0.63,0.25,0.76,0.75,0.74
prop-4.csv,SmartCorrelated2,0.81,0.57,0.61,0.58,0.17,0.72,0.71,0.71
prop-4.csv,SmartCorrelated3,0.75,0.58,0.68,0.58,0.23,0.75,0.72,0.72
prop-4.csv,SmartCorrelated4,0.85,0.6,0.62,0.61,0.22,0.75,0.74,0.72
prop-4.csv,RFE-Logistic1,0.85,0.6,0.61,0.6,0.21,0.74,0.73,0.72
prop-4.csv,RFE-Logistic2,0.85,0.6,0.62,0.61,0.22,0.76,0.73,0.72
prop-4.csv,RFE-Logistic3,0.85,0.59,0.6,0.59,0.19,0.75,0.72,0.71
prop-4.csv,RFE-Logistic4,0.86,0.6,0.61,0.6,0.2,0.76,0.73,0.71
prop-4.csv,Forward1,0.85,0.59,0.61,0.6,0.2,0.74,0.73,0.72
prop-4.csv,Forward2,0.85,0.61,0.62,0.61,0.23,0.76,0.74,0.73
prop-4.csv,Forward3,0.85,0.6,0.61,0.61,0.21,0.75,0.73,0.72
prop-4.csv,Forward4,0.85,0.6,0.61,0.6,0.21,0.77,0.73,0.72
prop-4.csv,RFE-Random1,0.82,0.56,0.59,0.57,0.14,0.64,0.7,0.69
prop-4.csv,RFE-Random2,0.81,0.56,0.58,0.56,0.14,0.64,0.7,0.69
prop-4.csv,RFE-Random3,0.85,0.61,0.63,0.62,0.23,0.76,0.74,0.73
prop-4.csv,RFE-Random4,0.86,0.61,0.62,0.61,0.23,0.76,0.74,0.73
prop-4.csv,Backward1,0.86,0.61,0.62,0.61,0.22,0.72,0.74,0.72
prop-4.csv,Backward2,0.86,0.61,0.63,0.62,0.24,0.73,0.75,0.73
prop-4.csv,Backward3,0.86,0.61,0.63,0.62,0.24,0.75,0.75,0.73
prop-4.csv,Backward4,0.85,0.61,0.63,0.62,0.24,0.77,0.75,0.73
prop-4.csv,Auto-Spearman,0.85,0.61,0.63,0.62,0.24,0.63,0.74,0.73
prop-4.csv,ATE-FS,0.81,0.55,0.58,0.56,0.13,0.69,0.69,0.69
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-2.csv,None,0.88,0.68,0.68,0.68,0.36,0.86,0.79,0.77
prop-2.csv,GSMB,0.76,0.56,0.61,0.56,0.16,0.71,0.69,0.69
prop-2.csv,IAMB,0.77,0.56,0.6,0.56,0.16,0.71,0.69,0.69
prop-2.csv,IAMBnPC,0.75,0.56,0.61,0.56,0.15,0.69,0.68,0.68
prop-2.csv,LRH,0.76,0.56,0.61,0.56,0.17,0.71,0.69,0.69
prop-2.csv,BAMB,0.75,0.56,0.6,0.56,0.15,0.69,0.69,0.68
prop-2.csv,FBEDk,0.76,0.56,0.61,0.56,0.17,0.71,0.69,0.69
prop-2.csv,MMMB,0.76,0.56,0.61,0.57,0.17,0.71,0.7,0.69
prop-2.csv,PCMB,0.76,0.56,0.61,0.57,0.16,0.71,0.69,0.69
prop-2.csv,HITON_MB,0.76,0.56,0.61,0.57,0.17,0.71,0.7,0.69
prop-2.csv,MBOR,0.78,0.59,0.67,0.61,0.25,0.76,0.73,0.73
prop-2.csv,IPCMB,0.82,0.61,0.66,0.62,0.26,0.78,0.75,0.74
prop-2.csv,STMB,0.76,0.56,0.61,0.56,0.16,0.71,0.69,0.69
prop-2.csv,KIAMB,0.82,0.59,0.6,0.58,0.18,0.73,0.71,0.7
prop-2.csv,TIE_P,0.83,0.6,0.6,0.59,0.19,0.73,0.71,0.7
prop-2.csv,Chi-Square1,0.84,0.6,0.62,0.61,0.22,0.74,0.73,0.72
prop-2.csv,Chi-Square2,0.85,0.62,0.64,0.63,0.25,0.78,0.75,0.73
prop-2.csv,Chi-Square3,0.77,0.61,0.72,0.62,0.31,0.8,0.75,0.75
prop-2.csv,Chi-Square4,0.85,0.61,0.62,0.62,0.24,0.79,0.74,0.73
prop-2.csv,Mutual-Info1,0.79,0.6,0.67,0.61,0.26,0.76,0.74,0.74
prop-2.csv,Mutual-Info2,0.87,0.66,0.68,0.67,0.33,0.84,0.78,0.76
prop-2.csv,Mutual-Info3,0.87,0.66,0.68,0.67,0.35,0.84,0.78,0.77
prop-2.csv,Mutual-Info4,0.8,0.63,0.74,0.65,0.35,0.82,0.78,0.77
prop-2.csv,Anova1,0.85,0.62,0.64,0.63,0.26,0.75,0.75,0.74
prop-2.csv,Anova2,0.85,0.62,0.63,0.62,0.25,0.76,0.74,0.73
prop-2.csv,Anova3,0.85,0.61,0.62,0.62,0.23,0.78,0.74,0.72
prop-2.csv,Anova4,0.76,0.6,0.7,0.6,0.28,0.79,0.73,0.73
prop-2.csv,DropCorrelated1,0.86,0.6,0.59,0.59,0.18,0.74,0.72,0.7
prop-2.csv,DropCorrelated2,0.85,0.61,0.62,0.61,0.22,0.75,0.73,0.72
prop-2.csv,DropCorrelated3,0.75,0.59,0.68,0.59,0.26,0.78,0.73,0.72
