dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-4.csv,TIE_P,0.89,0.64,0.57,0.58,0.19,0.66,0.72,0.69
prop-4.csv,Chi-Square1,0.85,0.61,0.64,0.62,0.24,0.7,0.75,0.73
prop-4.csv,Chi-Square2,0.85,0.61,0.65,0.62,0.26,0.71,0.75,0.74
prop-4.csv,Chi-Square3,0.85,0.61,0.65,0.62,0.25,0.71,0.75,0.74
prop-4.csv,Chi-Square4,0.84,0.6,0.64,0.62,0.24,0.71,0.75,0.74
prop-4.csv,Mutual-Info1,0.84,0.61,0.65,0.63,0.26,0.71,0.75,0.74
prop-4.csv,Mutual-Info2,0.84,0.61,0.64,0.62,0.25,0.7,0.75,0.74
prop-4.csv,Mutual-Info3,0.84,0.61,0.65,0.62,0.25,0.71,0.75,0.74
prop-4.csv,Mutual-Info4,0.84,0.6,0.64,0.62,0.24,0.71,0.75,0.74
prop-4.csv,Anova1,0.84,0.61,0.64,0.62,0.24,0.7,0.75,0.73
prop-4.csv,Anova2,0.84,0.6,0.65,0.62,0.25,0.7,0.75,0.74
prop-4.csv,Anova3,0.85,0.61,0.65,0.62,0.26,0.7,0.75,0.74
prop-4.csv,Anova4,0.84,0.61,0.64,0.62,0.25,0.71,0.75,0.74
prop-4.csv,DropCorrelated1,0.87,0.61,0.6,0.61,0.21,0.64,0.73,0.72
prop-4.csv,DropCorrelated2,0.87,0.61,0.62,0.62,0.23,0.66,0.74,0.72
prop-4.csv,DropCorrelated3,0.86,0.62,0.64,0.63,0.26,0.69,0.75,0.74
prop-4.csv,DropCorrelated4,0.86,0.62,0.64,0.63,0.26,0.68,0.75,0.74
prop-4.csv,SmartCorrelated1,0.86,0.62,0.64,0.63,0.26,0.69,0.75,0.74
prop-4.csv,SmartCorrelated2,0.88,0.64,0.6,0.61,0.23,0.65,0.73,0.71
prop-4.csv,SmartCorrelated3,0.85,0.62,0.65,0.63,0.26,0.68,0.75,0.74
prop-4.csv,SmartCorrelated4,0.85,0.62,0.65,0.63,0.27,0.69,0.76,0.74
prop-4.csv,RFE-Logistic1,0.85,0.6,0.63,0.61,0.23,0.69,0.74,0.73
prop-4.csv,RFE-Logistic2,0.85,0.62,0.65,0.63,0.26,0.7,0.75,0.74
prop-4.csv,RFE-Logistic3,0.85,0.61,0.65,0.63,0.26,0.71,0.75,0.74
prop-4.csv,RFE-Logistic4,0.85,0.61,0.65,0.63,0.26,0.71,0.75,0.74
prop-4.csv,Forward1,0.85,0.6,0.62,0.61,0.23,0.7,0.74,0.73
prop-4.csv,Forward2,0.85,0.61,0.65,0.62,0.25,0.71,0.75,0.74
prop-4.csv,Forward3,0.85,0.61,0.64,0.62,0.25,0.71,0.75,0.74
prop-4.csv,Forward4,0.85,0.61,0.65,0.63,0.26,0.71,0.75,0.74
prop-4.csv,RFE-Random1,0.9,0.67,0.55,0.57,0.18,0.61,0.71,0.68
prop-4.csv,RFE-Random2,0.86,0.62,0.64,0.63,0.27,0.68,0.76,0.74
prop-4.csv,RFE-Random3,0.88,0.63,0.62,0.62,0.25,0.67,0.74,0.73
prop-4.csv,RFE-Random4,0.87,0.63,0.61,0.62,0.24,0.67,0.74,0.72
prop-4.csv,Backward1,0.89,0.63,0.58,0.59,0.2,0.62,0.72,0.7
prop-4.csv,Backward2,0.88,0.63,0.59,0.6,0.21,0.63,0.73,0.71
prop-4.csv,Backward3,0.87,0.63,0.64,0.64,0.27,0.67,0.76,0.74
prop-4.csv,Backward4,0.87,0.63,0.64,0.63,0.27,0.69,0.75,0.74
prop-4.csv,Auto-Spearman,0.87,0.62,0.63,0.62,0.24,0.63,0.75,0.73
prop-4.csv,ATE-FS,0.88,0.63,0.6,0.61,0.23,0.64,0.74,0.72
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-2.csv,None,0.84,0.62,0.66,0.64,0.28,0.75,0.76,0.75
prop-2.csv,GSMB,0.88,0.62,0.55,0.56,0.16,0.61,0.7,0.68
prop-2.csv,IAMB,0.88,0.62,0.56,0.57,0.16,0.62,0.7,0.68
prop-2.csv,IAMBnPC,0.88,0.61,0.54,0.55,0.13,0.61,0.69,0.67
prop-2.csv,LRH,0.88,0.62,0.56,0.57,0.17,0.62,0.71,0.69
prop-2.csv,BAMB,0.88,0.62,0.55,0.56,0.15,0.61,0.7,0.68
prop-2.csv,FBEDk,0.88,0.62,0.56,0.57,0.16,0.62,0.7,0.68
prop-2.csv,MMMB,0.88,0.65,0.57,0.59,0.2,0.63,0.72,0.7
prop-2.csv,PCMB,0.88,0.61,0.55,0.56,0.15,0.61,0.7,0.68
prop-2.csv,HITON_MB,0.88,0.62,0.55,0.56,0.16,0.62,0.7,0.68
prop-2.csv,MBOR,0.88,0.64,0.57,0.59,0.2,0.65,0.72,0.7
prop-2.csv,IPCMB,0.88,0.62,0.56,0.57,0.17,0.62,0.71,0.69
prop-2.csv,STMB,0.88,0.62,0.55,0.57,0.16,0.61,0.7,0.68
prop-2.csv,KIAMB,0.88,0.63,0.57,0.58,0.19,0.64,0.72,0.69
prop-2.csv,TIE_P,0.88,0.63,0.56,0.58,0.18,0.63,0.71,0.69
prop-2.csv,Chi-Square1,0.84,0.59,0.61,0.6,0.2,0.71,0.73,0.71
prop-2.csv,Chi-Square2,0.83,0.6,0.62,0.61,0.22,0.7,0.73,0.72
prop-2.csv,Chi-Square3,0.83,0.59,0.61,0.6,0.21,0.68,0.73,0.72
prop-2.csv,Chi-Square4,0.83,0.59,0.61,0.6,0.2,0.68,0.72,0.71
prop-2.csv,Mutual-Info1,0.83,0.59,0.63,0.61,0.22,0.7,0.73,0.72
